id,question,reponse,categorie
1,Qui est Day Experience ?,"Day Experience est une centrale de réservation spécialisée dans les activités — excursions, tickets et transferts — opérationnelle depuis le 1er janvier 2015. Nous sommes partenaires de plusieurs réseaux de premier niveau ainsi que d'agences indépendantes.",À propos
2,Quels sont les atouts de Day Experience ?,"La spécialité exclusive des activités, contrairement aux centrales hôtelières. Des offres exhaustives et compétitives sur l'ensemble des destinations. Une sélectivité et évaluation rigoureuse des organisateurs partenaires. Un service de proximité dédié aux agences de voyage. La garantie d'une agence de voyage française titulaire de la licence APST. Une crédibilité reconnue auprès des réseaux de premier niveau.",À propos
3,Pourquoi proposer des activités à mes clients ?,"Les voyageurs veulent vivre et partager des expériences : les activités sont parfois la raison même du voyage. Votre rôle est de conseiller le voyageur — conseil, expertise, sécurité et contact humain. Démarquez-vous des agences en ligne en proposant l'expérience mémorable. Répondez mieux aux demandes de voyages sur mesure.",Opportunité business
4,Est-il facile de vendre une activité ?,"Oui. Lorsque votre client est en face de vous, toutes les conditions sont réunies : Il a déjà acheté son voyage et vous fait confiance. Il est porteur de besoins — 100 % des voyageurs achètent des activités. Il dispose d'un budget activités. Il ne manque plus que la proposition.",Opportunité business
5,Quels sont les avantages de réserver avant le départ ?,Meilleures offres tarifaires garanties. Présence assurée d'un guide francophone. Disponibilité garantie de l'activité souhaitée. Gain de temps précieux pendant le séjour.,Opportunité business
6,Combien je gagne en revendant des activités ?,"Panier moyen des activités dans un voyage : 320 €. Commission d'environ 14 %, soit 45 € par dossier. Sur 600 dossiers/an : 27 000 € de revenus supplémentaires. 27 000 € additionnels par an, sans aucun coût supplémentaire pour votre agence.",Revenus
7,Quel est le taux de commission ?,"Votre commission est d'environ 14 %. Les tarifs affichés sur notre site B2B incluent déjà votre commission, transparents et immédiatement encaissables.",Revenus
8,Comment fonctionne la réservation ?,"La réservation s'effectue en temps réel sur notre site B2B. Tarifs avec commission incluse, voucher généré instantanément à la confirmation.",Modalités pratiques
9,Les prix proposés sont-ils garantis ?,Oui. Day Experience garantit que les prix ne sont pas plus chers que ceux trouvés sur place.,Modalités pratiques
10,Quel support est disponible pour les agences ?,"Support agence disponible 6 jours sur 7 à vos horaires d'ouverture, par téléphone, e-mail, chat et messagerie du site B2B.",Modalités pratiques
11,Quelle est la politique d'annulation et de modification ?,"Pour la majorité des produits, annulations et modifications sans frais jusqu'à 2 jours avant le départ.",Modalités pratiques
12,Comment se passe le suivi du voyageur ?,"Day Experience prend en charge le suivi du voyageur en cas de modifications des programmes, à condition que vous nous communiquiez son contact lors de la réservation.",Modalités pratiques
13,Comment se passe la facturation et le paiement ?,"Facturation et paiement sur une base mensuelle, pour simplifier votre gestion comptable.",Modalités pratiques
